,Temps,Deviation,Cost,Taux,Trouve
vnd-edd-be-bi-bs,64138,0.199158,81256.3,93.8983,59
vnd-edd-be-bs-bi,61630.6,0.170829,79807.8,95.4386,57
vnd-edd-fe-fi-fs,21050.9,0.627,29788.7,65.7895,76
vnd-edd-fe-fs-fi,21014,0.504831,32035.4,74.9206,63
vnd-mdd-be-bi-bs,41193.1,0.274864,64550.2,98.8235,51
vnd-mdd-be-bs-bi,48589,0.238273,80323.5,96.8,50
vnd-mdd-fe-fi-fs,20303.7,0.626026,31540.2,64.0506,79
vnd-mdd-fe-fs-fi,21142.3,0.85987,35227.6,69.5652,69
vnd-rnd-be-bi-bs,91284.8,5.00622,124206,60.2817,71
vnd-rnd-be-bs-bi,79840.9,5.87915,110826,64.0625,64
vnd-rnd-fe-fi-fs,23808.7,2.54813,32693.6,63.6111,72
vnd-rnd-fe-fs-fi,27684.4,3.72257,40569.1,73.2,50
